Date,Symbol,Company,Sector,Industry,Last Index Change
2021-01-04,SJ,Stella-Jones Inc.,Basic Materials,Forest Products,2020-06-22
2021-01-04,SMU.UN,Summit Industrial Income REIT,Real Estate,REITs,2020-06-22
2021-01-04,SLF,Sun Life Financial Inc.,Financial Services,Insurance,2020-06-22
2021-01-04,SU,Suncor Energy Inc.,Energy,Oil & Gas,2020-06-22
2021-01-04,SPB,Superior Plus Corp.,Utilities,Regulated Utilities,2020-06-22
2021-01-04,TRP,TC Energy Corporation,Energy,Oil & Gas,2020-06-22
2021-01-04,TECK.B,Teck Resources Limited,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,T,Telus Corporation,Communication Services,Telecommunication Services,2020-06-22
2021-01-04,TGZ,Teranga Gold Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,TFII,TFI International Inc.,Industrials,Transportation,2020-06-22
2021-01-04,NWC,The North West Company Inc.,Consumer Defensive,Retail Defensive,2020-06-22
2021-01-04,TRI,Thomson Reuters Corporation,Industrials,Business Services,2020-06-22
2021-01-04,X,TMX Group Limited,Financial Services,Capital Markets,2020-06-22
2021-01-04,TXG,Torex Gold Resources Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution,2020-06-22
2021-01-04,TD,Toronto-Dominion Bank,Financial Services,Banks,2020-06-22
2021-01-04,TOU,Tourmaline Oil Corp.,Energy,Oil & Gas,2020-06-22
2021-01-04,TA,TransAlta Corporation,Utilities,Independent Power Producers,2020-06-22
2021-01-04,RNW,TransAlta Renewables Inc.,Utilities,Independent Power Producers,2020-06-22
2021-01-04,TCL.A,Transcontinental Inc.,Industrials,Business Services,2020-06-22
2021-01-04,TCN,Tricon Capital Group Inc.,Real Estate,Real Estate,2020-06-22
2021-01-04,TRIL,Trillium Therapeutics Inc.,Healthcare,Biotechnology,2020-06-22
2021-01-04,VET,Vermilion Energy Inc.,Energy,Oil & Gas,2020-06-22
